Empresa,Valor
Iguatemi,IGTI3
Braskem,BRKM3
Alupar,ALUP4
Oi,OIBR4
Alupar,ALUP3
Banestes,BEES3
Energisa,ENGI4
Taurus,TASA3
Bombril,BOBR4
Equatorial Energia Pará,EQPA3
ATOM,ATOM3
Nutriplant,NUTR3
Triunfo,TPIS3
Dotz,DOTZ3
Banco da Amazônia,BAZA3
Unipar,UNIP3
Banrisul,BRSR3
Electro Aço Altona,EALT4
RNI,RDNI3
WDC Networks,LVTC3
Haga,HAGA4
LE LIS BLANC,VSTE3
Coteminas,CTNM4
CEB,CEBR6
Alpargatas,ALPA3
Brasil Brokers,NEXP3
Ourofino Saúde Animal,OFSA3
Coelce,COCE5
Energisa,ENGI3
Haga,HAGA3
Pettenati,PTNT4
Fertilizantes Heringer,FHER3
Tronox Pigmentos,CRPG5
Rede Energia,REDE3
Bahema,BAHI3
Banestes,BEES4
Banco BTG Pactual,BPAC5
Hotéis Othon,HOOT4
São Carlos,SCAR3
Atma,ATMP3
CEB,CEBR3
Grazziotin,CGRA4
Santanense,CTSA3
Sansuy,SNSY3
Metisa,MTSA4
Minupar,MNPR3
Pettenati,PTNT3
Grazziotin,CGRA3
Dexxos,DEXP4
Whirlpool,WHRL3
Döhler,DOHL4
Azevedo & Travassos,AZEV11
Celesc,CLSC4
Banco BTG Pactual,BPAC3
Excelsior,BAUH4
EMAE,EMAE4
COSERN,CSRN3
Metalúrgica Riosulense,RSUL4
CEB,CEBR5
Comgás,CGAS5
Transmissão Paulista,TRPL3
Banco Pine,PINE3
Metalfrio,FRIO3
OSX Brasil,OSXB3
Ferbasa,FESA3
Döhler,DOHL3
Iguatemi,IGTI4
Jereissati Participações,IGTI4
Energisa MT,ENMT4
Telebras,TELB4
Plascar,PLAS3
Whirlpool,WHRL4
Baumer,BALM4
Rio Paranapanema Energia,GEPA4
Comgás,CGAS3
Celesc,CLSC3
Elektro,EKTR4
Tronox Pigmentos,CRPG6
Banco Mercantil do Brasil,BMEB3
Mangels,MGEL4
GOL,GOLL11
Banco do Nordeste,BNBR3
Unipar,UNIP5
Alper,APER3
COELBA,CEEB3
WLM,WLMM4
Teka,TEKA4
Cedro Têxtil,CEDO4
Karsten,CTKA4
Banco de Brasília,BSLI4
Cemepe,MAPT3
Alphaville,AVLL3
Monark,BMKS3
Wetzel,MWET4
Fica,FIEI3
Banco Pine,PINE11
Cemepe,MAPT4
Alfa Holdings,RPAD5
Mundial,MNDL3
Banese,BGIP4
Telebras,TELB3
Alfa Holdings,RPAD6
Sansuy,SNSY5
Electro Aço Altona,EALT3
PSVM11,PSVM11
MRS Logística,MRSA3B
Eucatex,EUCA3
Hercules,HETA4
Banese,BGIP3
WLM,WLMM3
Banco de Brasília,BSLI3
Alfa Holdings,RPAD3
Cedro Têxtil,CEDO3
Trevisa,LUXM4
Habitasul,HBTS5
Rio Paranapanema Energia,GEPA3
Equatorial Maranhão,EQMA3B
COSERN,CSRN6
Banco Mercantil de Investimentos,BMIN4
General Shopping & Outlets,GSHP3
Coteminas,CTNM3
Nordon,NORD3
Participações Aliança da Bahia,PEAB3
Participações Aliança da Bahia,PEAB4
Coelce,COCE3
Josapar,JOPA3
COELBA,CEEB5
Braskem,BRKM6
Estrela,ESTR4
Panatlântica,PATI3
CEEE D,CEED3
Bardella,BDLL4
São Paulo Turismo,AHEB3
Banrisul,BRSR5
DASA11,DASA11
MRS Logística,MRSA5B
MRS Logística,MRSA6B
COSERN,CSRN5
Wetzel,MWET3
Afluente T,AFLT3
